Country/Region,2018,2019,2020,2021,2022,Rank,CCA3,Country/Territory,Capital,Continent,2022 Population
China,40250,41450,46360,43990,45070,1,CHN,China,Beijing,Asia,1425887337
Indonesia,12540,12520,12640,13270,14260,4,IDN,Indonesia,Jakarta,Asia,275501339
India,6060,6730,6730,7560,7580,2,IND,India,New Delhi,Asia,1417173173
Japan,5780,5630,5970,5850,5980,11,JPN,Japan,Tokyo,Asia,123951692
Philippines,3980,3850,4470,4440,4290,13,PHL,Philippines,Manila,Asia,115559009
South Korea,3820,3900,4130,3790,3950,29,KOR,South Korea,Seoul,Asia,51815810
Thailand,3460,3570,3710,3630,3870,20,THA,Thailand,Bangkok,Asia,71697030
Brazil,2390,2420,2720,2850,2830,7,BRA,Brazil,Brasilia,South America,215313498
Nigeria,1820,1920,2460,2620,2790,6,NGA,Nigeria,Abuja,Africa,218541212
Russia,1850,1910,2000,2100,2200,9,RUS,Russia,Moscow,Europe,144713314
Nepal,1570,1640,1540,1590,1650,49,NPL,Nepal,Kathmandu,Asia,30547580
Malaysia,1370,1450,1570,1580,1550,45,MYS,Malaysia,Kuala Lumpur,Asia,33938221
Mexico,1120,1170,1160,1360,1510,10,MEX,Mexico,Mexico City,North America,127504125
Taiwan,830,830,870,900,880,57,TWN,Taiwan,Taipei,Asia,23893394
Saudi Arabia,550,560,830,850,870,41,SAU,Saudi Arabia,Riyadh,Asia,36408820
Myanmar,600,620,660,760,770,26,MMR,Myanmar,Nay Pyi Taw,Asia,54179306
South Africa,260,280,350,410,480,24,ZAF,South Africa,Pretoria,Africa,59893885
Egypt,220,280,350,400,460,14,EGY,Egypt,Cairo,Africa,110990103
Australia,410,420,440,450,450,55,AUS,Australia,Canberra,Oceania,26177413
Bangladesh,310,370,370,430,440,8,BGD,Bangladesh,Dhaka,Asia,171186372
Turkey,80,120,190,360,420,18,TUR,Turkey,Ankara,Asia,85341241
Cambodia,330,350,370,410,400,73,KHM,Cambodia,Phnom Penh,Asia,16767842
Germany,320,330,370,390,390,19,DEU,Germany,Berlin,Europe,83369843
Poland,310,310,330,340,380,37,POL,Poland,Warsaw,Europe,39857145
Kazakhstan,170,250,280,320,360,66,KAZ,Kazakhstan,Nursultan,Asia,19397998
Guatemala,230,250,260,270,280,68,GTM,Guatemala,Guatemala City,North America,17843908
Pakistan,190,200,220,230,240,5,PAK,Pakistan,Islamabad,Asia,235824862
Uzbekistan,170,210,210,210,210,43,UZB,Uzbekistan,Tashkent,Asia,34627652
Canada,190,190,190,200,200,39,CAN,Canada,Ottawa,North America,38454327
Sri Lanka,170,180,180,190,200,61,LKA,Sri Lanka,Colombo,Asia,21832143
Peru,160,160,160,170,170,44,PER,Peru,Lima,South America,34049588
Ethiopia,80,80,120,130,140,12,ETH,Ethiopia,Addis Ababa,Africa,123379924
Singapore,130,130,160,140,130,113,SGP,Singapore,Singapore,Asia,5975689
Kenya,50,60,80,100,130,27,KEN,Kenya,Nairobi,Africa,54027487
France,90,80,90,100,110,23,FRA,France,Paris,Europe,64626628
New Zealand,80,90,90,90,100,123,NZL,New Zealand,Wellington,Oceania,5185288
Spain,70,70,80,90,90,30,ESP,Spain,Madrid,Europe,47558630
Czech Republic,60,70,70,70,70,88,CZE,Czech Republic,Prague,Europe,10493986
Iran,50,50,60,60,70,17,IRN,Iran,Tehran,Asia,88550570
Sweden,40,50,60,60,60,87,SWE,Sweden,Stockholm,Europe,10549347
Netherlands,50,50,50,50,60,71,NLD,Netherlands,Amsterdam,Europe,17564014
Chile,30,30,20,50,60,65,CHL,Chile,Santiago,South America,19603733
Colombia,20,20,20,20,50,28,COL,Colombia,Bogota,South America,51874024
Italy,20,20,30,40,40,25,ITA,Italy,Rome,Europe,59037474
Hungary,30,40,40,40,40,94,HUN,Hungary,Budapest,Europe,9967308
Belgium,10,20,20,20,20,81,BEL,Belgium,Brussels,Europe,11655930
Denmark,20,20,10,10,20,115,DNK,Denmark,Copenhagen,Europe,5882261
Finland,10,20,20,20,20,118,FIN,Finland,Helsinki,Europe,5540745
Switzerland,10,10,10,10,20,101,CHE,Switzerland,Bern,Europe,8740472
Argentina,10,10,0,20,10,33,ARG,Argentina,Buenos Aires,South America,45510318
Costa Rica,10,10,10,20,10,124,CRI,Costa Rica,San José,North America,5180829